
Solucion numero: 1
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	13	6		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		248
	12	4		12 - 11 - 9 - 4		218
	1	3		1 - 0 - 2 - 3		406
	11	15		11 - 9 - 4 - 2 - 0 - 15		235
	12	10		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		419
	15	0		15 - 0		118
	14	0		14 - 11 - 9 - 4 - 2 - 0		315
	9	1		9 - 4 - 2 - 0 - 1		255
	9	12		9 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		449
	17	11		17 - 10 - 5 - 4 - 9 - 11		182
	13	4		13 - 12 - 11 - 9 - 4		135
	14	18		14 - 11 - 9 - 4 - 2 - 1 - 16 - 18		9
	17	16		17 - 10 - 5 - 4 - 16		339
	15	16		15 - 0 - 1 - 2 - 3 - 4 - 5 - 16		142
	12	6		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		110
	3	17		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10 - 17		249
	9	14		9 - 4 - 2 - 0 - 1 - 16 - 15 - 14		31
	12	9		12 - 11 - 9		214
	17	12		17 - 10 - 5 - 4 - 9 - 11 - 12		317
	16	2		16 - 1 - 0 - 2		199
	6	15		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		13
	15	3		15 - 0 - 1 - 2 - 3		358
	14	8		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		382
	12	16		12 - 11 - 9 - 4 - 2 - 1 - 16		301
	2	9		2 - 0 - 1 - 16 - 4 - 5 - 9		136
	1	2		1 - 0 - 2		325
	15	18		15 - 0 - 1 - 2 - 3 - 4 - 5 - 18		409
	6	17		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		355
	17	3		17 - 10 - 5 - 4 - 3		322
	11	16		11 - 9 - 4 - 2 - 1 - 16		277
	10	5		10 - 5		321
	1	4		1 - 0 - 2 - 4		409
	6	12		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		307
	7	15		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 15		423
	17	5		17 - 10 - 5		72
	0	4		0 - 1 - 2 - 4		100
	18	15		18 - 5 - 4 - 2 - 0 - 15		205
	14	3		14 - 11 - 9 - 4 - 3		47
	6	0		6 - 4 - 2 - 0		1
	3	16		3 - 2 - 0 - 1 - 16		364
	4	8		4 - 2 - 0 - 1 - 16 - 5 - 9 - 8		34
	10	14		10 - 5 - 4 - 2 - 0 - 15 - 14		237
	17	15		17 - 10 - 5 - 4 - 15		124
	2	16		2 - 0 - 1 - 16		46
	9	17		9 - 4 - 2 - 0 - 1 - 16 - 17		207
	2	1		2 - 0 - 1		234
	7	17		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		352
	13	5		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		283
	15	12		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12		192
	14	2		14 - 11 - 9 - 4 - 2		328
	10	7		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7		201
	10	16		10 - 5 - 4 - 2 - 1 - 16		14
	13	7		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		154
	7	11		7 - 6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		70
	18	10		18 - 5 - 4 - 2 - 0 - 15 - 11 - 10		358
	16	17		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10 - 17		214
	9	10		9 - 4 - 2 - 0 - 15 - 11 - 10		246
	11	14		11 - 9 - 4 - 2 - 0 - 15 - 14		330
	12	7		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		153
	9	15		9 - 4 - 2 - 0 - 1 - 16 - 15		264
	5	7		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 7		87
	1	9		1 - 0 - 2 - 3 - 4 - 5 - 9		422
	17	6		17 - 10 - 5 - 4 - 6		108
	18	14		18 - 5 - 4 - 2 - 0 - 15 - 14		127
	12	5		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5		84
	14	9		14 - 11 - 9		78
	12	14		12 - 11 - 9 - 4 - 2 - 0 - 15 - 14		281
	6	11		6 - 4 - 2 - 0 - 1 - 16 - 15 - 11		348
	18	11		18 - 5 - 4 - 2 - 0 - 15 - 11		15
	10	12		10 - 5 - 4 - 2 - 0 - 15 - 11 - 12		280
	10	13		10 - 5 - 4 - 2 - 0 - 15 - 13		103
	16	9		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9		208
	13	1		13 - 12 - 11 - 9 - 4 - 2 - 1		364
	15	14		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 14		122
	5	18		5 - 4 - 2 - 0 - 1 - 16 - 18		306
	6	2		6 - 4 - 2		40
	13	16		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16		396
	13	11		13 - 12 - 11		249
	9	13		9 - 4 - 2 - 0 - 1 - 16 - 15 - 13		448
	18	16		18 - 5 - 4 - 2 - 1 - 16		186
	9	5		9 - 4 - 2 - 0 - 1 - 16 - 5		242
	5	0		5 - 4 - 2 - 0		350
	11	13		11 - 9 - 4 - 2 - 0 - 15 - 13		256
	5	15		5 - 4 - 2 - 0 - 15		93
	12	8		12 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7 - 8		86
	5	10		5 - 4 - 2 - 0 - 15 - 11 - 10		344
	16	3		16 - 1 - 0 - 2 - 3		84
	4	2		4 - 2		414
	5	13		5 - 4 - 2 - 0 - 1 - 16 - 15 - 13		383
	18	13		18 - 5 - 4 - 2 - 0 - 15 - 13		393
	14	12		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		94
	9	6		9 - 4 - 2 - 0 - 1 - 16 - 5 - 6		224
	14	17		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17		325
	10	18		10 - 5 - 4 - 2 - 1 - 16 - 18		62
	14	5		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5		296
	14	16		14 - 11 - 9 - 4 - 2 - 1 - 16		445
	4	10		4 - 2 - 0 - 1 - 16 - 5 - 10		285
	6	14		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		108
	15	2		15 - 0 - 1 - 2		16
	11	12		11 - 9 - 4 - 2 - 0 - 15 - 13 - 12		272
	12	17		12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		85
	5	14		5 - 4 - 2 - 0 - 1 - 16 - 15 - 14		74
	13	17		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17		146
	7	10		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		88
	5	9		5 - 4 - 2 - 0 - 15 - 11 - 9		179
	5	12		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 12		372
	14	11		14 - 11		7
	3	1		3 - 2 - 0 - 1		321
	14	15		14 - 11 - 9 - 4 - 2 - 0 - 15		147
	18	8		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		429
	5	2		5 - 4 - 2		11
	6	9		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9		164
	14	4		14 - 11 - 9 - 4		319
	3	9		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9		141
	16	8		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 8		263
	17	2		17 - 10 - 5 - 4 - 2		184
	9	16		9 - 4 - 2 - 0 - 1 - 16		69
	14	7		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6 - 7		420
	18	6		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 7 - 6		194
	5	11		5 - 4 - 2 - 0 - 15 - 11		61
	11	9		11 - 9		123
	17	13		17 - 10 - 5 - 4 - 15 - 13		336
	9	18		9 - 4 - 2 - 0 - 1 - 16 - 18		374
	13	2		13 - 12 - 11 - 9 - 4 - 2		217
	14	1		14 - 11 - 9 - 4 - 2 - 1		292
	4	5		4 - 2 - 0 - 1 - 16 - 5		240
	7	5		7 - 6 - 4 - 2 - 0 - 1 - 16 - 5		349
	14	10		14 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		250
	7	0		7 - 6 - 4 - 2 - 0		447
	15	5		15 - 0 - 1 - 2 - 3 - 4 - 5		311
	4	18		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 18		432
	11	18		11 - 9 - 4 - 2 - 1 - 16 - 18		55
	14	6		14 - 11 - 9 - 4 - 2 - 1 - 16 - 5 - 6		102
	4	15		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 15		230
	12	15		12 - 11 - 9 - 4 - 2 - 0 - 15		176
	15	9		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9		75
	5	1		5 - 4 - 2 - 1		56
	4	0		4 - 2 - 0		96
	10	1		10 - 5 - 4 - 2 - 1		92
	4	7		4 - 2 - 0 - 1 - 16 - 5 - 6 - 7		265
	9	2		9 - 4 - 2		359
	6	16		6 - 4 - 2 - 0 - 1 - 16		397
	9	4		9 - 4		360
	17	4		17 - 10 - 5 - 4		325
	6	10		6 - 4 - 2 - 0 - 1 - 16 - 5 - 10		0
	13	15		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15		290
	17	18		17 - 10 - 5 - 4 - 16 - 18		33
	13	9		13 - 12 - 11 - 9		299
	10	8		10 - 5 - 4 - 2 - 0 - 15 - 11 - 9 - 8		427
	13	10		13 - 12 - 11 - 9 - 4 - 2 - 0 - 15 - 17 - 10		388
	13	18		13 - 12 - 11 - 9 - 4 - 2 - 1 - 16 - 18		137
	0	9		0 - 1 - 2 - 3 - 4 - 5 - 9		361
	4	9		4 - 2 - 0 - 1 - 16 - 5 - 9		41
	2	18		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		184
	10	17		10 - 5 - 4 - 2 - 0 - 15 - 17		387
	14	13		14 - 11 - 9 - 4 - 2 - 0 - 15 - 13		29
	15	11		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11		294
	4	1		4 - 2 - 0 - 1		446
	17	9		17 - 10 - 5 - 4 - 9		342
	2	7		2 - 0 - 1 - 16 - 4 - 5 - 6 - 7		284
	7	1		7 - 6 - 4 - 2 - 0 - 1		193
	15	10		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10		185
	18	1		18 - 5 - 4 - 2 - 1		313
	6	13		6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		82
	7	2		7 - 6 - 4 - 2		442
	5	17		5 - 4 - 2 - 0 - 1 - 16 - 17		347
	10	15		10 - 5 - 4 - 2 - 0 - 15		335
	18	9		18 - 5 - 4 - 2 - 0 - 15 - 11 - 9		26
	15	8		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		194
	8	16		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16		213
	18	5		18 - 5		400
	15	1		15 - 0 - 1		384
	6	18		6 - 4 - 2 - 0 - 1 - 16 - 5 - 18		25
	2	5		2 - 0 - 1 - 16 - 4 - 5		308
	12	0		12 - 11 - 9 - 4 - 2 - 0		68
	0	7		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7		63
	18	17		18 - 5 - 4 - 2 - 0 - 15 - 17		279
	17	14		17 - 10 - 5 - 4 - 15 - 14		73
	0	8		0 - 1 - 2 - 3 - 4 - 5 - 9 - 8		350
	15	6		15 - 0 - 1 - 2 - 3 - 4 - 5 - 6		436
	4	17		4 - 2 - 0 - 1 - 16 - 5 - 10 - 17		195
	5	8		5 - 4 - 2 - 0 - 1 - 16 - 15 - 11 - 9 - 8		36
	4	11		4 - 2 - 0 - 1 - 16 - 5 - 9 - 11		6
	2	8		2 - 0 - 1 - 16 - 4 - 5 - 9 - 8		35
	17	0		17 - 10 - 5 - 4 - 2 - 0		379
	15	17		15 - 0 - 1 - 2 - 3 - 4 - 5 - 10 - 17		373
	2	0		2 - 0		324
	16	1		16 - 1		213
	17	7		17 - 10 - 5 - 4 - 6 - 7		119
	9	3		9 - 4 - 3		431
	6	3		6 - 4 - 3		351
	9	11		9 - 4 - 2 - 0 - 15 - 11		298


Solucion numero: 2
Cantidad de bloqueados: 0
Fitness: 2065
	Origen 	Destino 	Ruta 			Ranuras
	0	12		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		67
	0	13		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		174
	0	14		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		57
	1	12		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12		424
133
	1	13		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 12 - 13		371
48
	1	14		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 14		124
68
	3	12		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		168
	3	13		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		282
	3	14		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		101
	16	12		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12		35
	16	13		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 12 - 13		58
	16	14		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 10 - 11 - 14		274
	0	17		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		258
	0	18		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		103
	1	0		1 - 0		252
	1	5		1 - 0 - 2 - 3 - 4 - 5		385
	1	6		1 - 0 - 2 - 3 - 4 - 5 - 6		300
	1	10		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		302
143
	1	11		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		425
410
	0	5		0 - 1 - 2 - 3 - 4 - 5		428
	0	6		0 - 1 - 2 - 3 - 4 - 5 - 6		142
	0	10		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10		56
	1	15		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		388
163
	1	16		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 17 - 16		390
263
	1	17		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 10 - 17		400
203
	1	18		1 - 0 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 18		14
278
	2	3		2 - 0 - 1 - 16 - 4 - 3		93
	2	12		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12		337
	2	13		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 12 - 13		170
	2	14		2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 14		340
	3	0		3 - 2 - 0		435
	3	2		3 - 2		290
	3	4		3 - 2 - 0 - 1 - 16 - 4		385
	3	5		3 - 2 - 0 - 1 - 16 - 4 - 5		325
	3	6		3 - 2 - 0 - 1 - 16 - 4 - 5 - 6		280
	3	10		3 - 2 - 0 - 1 - 16 - 4 - 5 - 10		118
	3	11		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 11		25
	0	11		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11		266
	0	1		0 - 1		399
	0	2		0 - 1 - 2		172
	3	15		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 11 - 15		83
	3	18		3 - 2 - 0 - 1 - 16 - 4 - 5 - 9 - 10 - 18		402
	4	3		4 - 3		194
	4	12		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12		20
	4	13		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 12 - 13		341
	4	14		4 - 2 - 0 - 1 - 16 - 5 - 9 - 10 - 11 - 14		364
	5	3		5 - 4 - 3		396
	5	4		5 - 4		347
	8	3		8 - 7 - 6 - 4 - 3		390
	8	4		8 - 7 - 6 - 4		17
	8	12		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12		281
	8	13		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 12 - 13		240
	8	14		8 - 7 - 6 - 4 - 2 - 0 - 1 - 16 - 5 - 9 - 11 - 14		75
	10	3		10 - 5 - 4 - 3		326
	10	4		10 - 5 - 4		420
	12	11		12 - 11		214
	13	12		13 - 12		259
	15	13		15 - 0 - 1 - 2 - 3 - 4 - 5 - 9 - 11 - 12 - 13		331
	16	0		16 - 1 - 0		417
	16	5		16 - 1 - 0 - 2 - 3 - 4 - 5		151
	16	6		16 - 1 - 0 - 2 - 3 - 4 - 5 - 6		336
	16	10		16 - 1 - 0 - 2 - 3 - 4 - 5 - 10		287
	16	11		16 - 1 - 0 - 2 - 3 - 4 - 5 - 9 - 11		49
	0	3		0 - 1 - 2 - 3		225
	0	15		0 - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 11 - 15		448
